symbol,asOfDate,periodType,currencyCode,BasicAverageShares,BasicEPS,CostOfRevenue,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GrossProfit,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherIncomeExpense,OtherNonOperatingIncomeExpenses,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,ResearchAndDevelopment,SellingGeneralAndAdministration,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalOperatingIncomeAsReported,TotalRevenue
AAPL,2020-09-30,12M,USD,,,,,,,,,,2873000000.0,2873000000.0,3763000000.0,3763000000.0,,,,,,,890000000.0,890000000.0,,,,,,,,,,,,,,,,,,
AAPL,2021-09-30,12M,USD,16701272000.0,5.67,212981000000.0,16864919000.0,5.61,94680000000.0,111852000000.0,123136000000.0,152836000000.0,2645000000.0,2645000000.0,2843000000.0,2843000000.0,94680000000.0,94680000000.0,94680000000.0,94680000000.0,94680000000.0,94680000000.0,198000000.0,198000000.0,123136000000.0,94680000000.0,43887000000.0,108949000000.0,365817000000.0,60000000.0,60000000.0,109207000000.0,212981000000.0,11284000000.0,21914000000.0,21973000000.0,0.0,14527000000.0,0.133,256868000000.0,108949000000.0,365817000000.0
AAPL,2022-09-30,12M,USD,16215963000.0,6.15,223546000000.0,16325819000.0,6.11,99803000000.0,119437000000.0,130541000000.0,170782000000.0,2931000000.0,2931000000.0,2825000000.0,2825000000.0,99803000000.0,99803000000.0,99803000000.0,99803000000.0,99803000000.0,99803000000.0,-106000000.0,-106000000.0,130541000000.0,99803000000.0,51345000000.0,119437000000.0,394328000000.0,-334000000.0,-334000000.0,119103000000.0,223546000000.0,11104000000.0,26251000000.0,25094000000.0,0.0,19300000000.0,0.162,274891000000.0,119437000000.0,394328000000.0
AAPL,2023-09-30,12M,USD,15744231000.0,6.16,214137000000.0,15812547000.0,6.13,96995000000.0,114301000000.0,125820000000.0,169148000000.0,3933000000.0,3933000000.0,3750000000.0,3750000000.0,96995000000.0,96995000000.0,96995000000.0,96995000000.0,96995000000.0,96995000000.0,-183000000.0,-183000000.0,125820000000.0,96995000000.0,54847000000.0,114301000000.0,383285000000.0,-565000000.0,-565000000.0,113736000000.0,214137000000.0,11519000000.0,29915000000.0,24932000000.0,0.0,16741000000.0,0.147,268984000000.0,114301000000.0,383285000000.0
AAPL,2023-09-30,TTM,USD,15744231000.0,6.16,,15812547000.0,6.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,2023-12-31,TTM,USD,15648491000.0,6.46,,15717777750.0,6.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,2024-03-31,TTM,USD,15553166500.0,6.46,,15622192500.0,6.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,2024-06-30,TTM,USD,15450643500.0,6.6,,15515481000.0,6.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,2024-09-30,12M,USD,15343783000.0,6.11,210352000000.0,15408095000.0,6.08,93736000000.0,123216000000.0,134661000000.0,180683000000.0,,,,,93736000000.0,93736000000.0,93736000000.0,93736000000.0,93736000000.0,93736000000.0,,,134661000000.0,93736000000.0,57467000000.0,123216000000.0,391035000000.0,269000000.0,269000000.0,123485000000.0,210352000000.0,11445000000.0,31370000000.0,26097000000.0,0.0,29749000000.0,0.241,267819000000.0,123216000000.0,391035000000.0
AAPL,2024-09-30,TTM,USD,15343783000.0,6.11,,15408095000.0,6.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,2024-12-31,TTM,USD,15236773250.0,6.33,,15301651000.0,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,2025-03-31,TTM,USD,15133829500.0,6.45,213667000000.0,15199507000.0,6.42,97294000000.0,127364000000.0,138866000000.0,186699000000.0,,,,,97294000000.0,97294000000.0,97294000000.0,97294000000.0,97294000000.0,97294000000.0,,,138866000000.0,97294000000.0,59335000000.0,127364000000.0,400366000000.0,-366000000.0,-366000000.0,126998000000.0,213667000000.0,11502000000.0,32589000000.0,26746000000.0,0.0,29704000000.0,0.233893,273002000000.0,127364000000.0,400366000000.0
